sample,region,Eukaryota_%,Cryptosporidium_%,Giardia_%,Sarcocystis_%,Toxoplasma_gondii_%,Toxacaris_%,Trichinella_%,Uncinaria_%,Echinococcus_%,Taenia_%,Cestoda_%,Nematoda_%,Virus_%,PARVO_Parvoviridae_%,PARVO_Bocaparvovirus_%,PARVO_Canine_Minute_%,PARVO_Canine_bufavirus_%,PARVO_Canine_protoparvovirus_%,PARVO_Canine_parvovirus_%,ADENO_Adenoviridae_%,ADENO_Canine_mastadenovirus_%,PAP_Papillomaviridae_%
EHI01316,Daneborg,8.000000,0.008000,0.000200,,0.004000,,0.010000,0.000200,0.007000,0.000800,0.100000,0.200000,0.100000,0.100000,0.030000,,,,,0.005000,,0.005000
EHI01293,Ittoqqortoormii,10,0.004,0.002,,0.007,,0.008,,0.02,,0.3,0.3,0.2,0.02,0.02,,,,,0.1,,0.1
EHI01326,Daneborg,8,0.004,0.0002,,0.004,,0.008,0.0001,0.009,0.0006,0.9,0.02,0.07,0.2,0.05,,,,,0.008,,0.02
EHI01296,Daneborg,8,0.006,0.00007,,0.006,,0.3,0.02,0.01,0.0002,0.1,0.3,0.1,0.1,0.04,,,,,,,0.02
EHI01306,Ittoqqortoormii,9,0.006,0.0003,,0.006,,0.008,,0.008,,0.09,0.3,0.2,0.03,0.02,,,,,0.02,,0.08
EHI01317,Ittoqqortoormii,8,0.006,,,0.004,,0.006,,0.02,0.005,0.1,0.2,0.2,0.01,0.007,,,,,0.07,,0.1
EHI01320,Ittoqqortoormii,5,0.01,0.002,,0.001,,0.005,,0.02,,0.1,0.3,0.07,0.02,0.02,,,,,0.01,,0.4
EHI01385,Ittoqqortoormii,10,0.01,0.0001,0.0003,0.004,,0.008,,0.008,,0.09,0.3,0.2,0.03,0.03,,,,,0.004,0.0008,0.01
EHI01297,Daneborg,9,0.004,0.00004,,0.004,,0.02,0.0003,0.008,,0.1,0.3,0.07,0.2,0.03,,,,,0.02,,0.06
EHI01302,Daneborg,8,0.006,0.0003,,0.006,,0.01,,0.01,0.0005,0.1,0.3,0.05,0.5,0.1,,,,,0.007,,0.01
EHI01329,Daneborg,12,0.005,0.0001,0.00002,0.005,,0.01,0.00008,0.008,,0.09,0.2,0.06,0.2,,,,,,0.02,,0.01
EHI01319,Ittoqqortoormii,9,0.009,0.0004,,0.007,,0.008,,0.01,,0.09,0.2,0.07,0.02,0.01,,,,,0.1,,0.3
EHI01321,Daneborg,7,0.004,0.0001,,0.004,,0.01,0.00003,0.04,0.008,0.1,0.3,0.1,0.1,0.02,,,,,0.006,,0.01
EHI01303,Ittoqqortoormii,8,0.02,,,0.002,,0.006,,0.004,,0.06,0.2,0.5,,,,,,,,,0.01
EHI01330,Ittoqqortoormii,3,0.006,0.0003,,0.006,,0.008,,0.01,,0.1,0.3,4,0.0002,0.0001,,,,,0.000002,,0.004
EHI01280,Ittoqqortoormii,9,0.007,0.0007,,0.005,,0.01,0.00005,0.008,,0.09,0.3,0.1,10,10,10,,,,0.07,,0.2
EHI01382,Ittoqqortoormii,6,0.007,0.0005,,0.005,,0.01,,0.005,,0.1,0.3,0.6,0.006,0.003,,,,,0.005,,0.01
EHI01285,Ittoqqortoormii,10,0.008,0.00003,,0.005,,0.007,,0.006,,0.08,0.2,0.05,0.1,0.06,,,,,0.2,,0.3
EHI01309,Daneborg,12,0.004,0.0002,,0.004,,0.01,,0.003,,0.09,0.3,0.04,0.5,,,,,,,,0.1
EHI01383,Ittoqqortoormii,9,0.004,0.0006,,0.004,,0.006,,0.007,,0.07,0.3,0.07,0.2,0.08,,,,,0.07,,0.5
EHI01295,Daneborg,10,0.003,0.0003,,0.003,,0.01,0.0002,0.005,,0.09,0.2,0.06,0.3,,,,,,0.02,,0.007
EHI01290,Ittoqqortoormii,9,0.01,0.0001,,0.006,,0.01,,0.008,,0.09,0.2,0.2,0.007,0.004,,,,,0.04,,0.02
EHI01381,Ittoqqortoormii,9,0.004,0.0002,,0.001,,0.009,,0.01,,0.09,0.4,0.08,0.1,0.08,,0.003,0.01,,0.5,,1
EHI01310,Daneborg,6,0.006,0.0001,,0.001,,0.008,0.0001,0.02,0.001,0.1,0.3,0.06,0.2,0.1,,,,,,,0.005000
EHI01312,Daneborg,8,0.01,0.0003,,0.002,,0.008,,0.009,0.0006,0.09,0.3,0.2,,,,,,,0.040000,,0.008000
EHI01283,Daneborg,8,0.004,0.00007,,0.004,,0.008,0.0002,0.009,0.0001,0.1,0.3,0.1,0.1,0.04,,,,,0.002000,,0.010000
EHI01298,Daneborg,8,0.005,0.0001,,0.006,,0.01,,0.009,0.0007,0.1,0.2,0.08,0.3,0.08,,,,,,,0.010000
EHI01281,Ittoqqortoormii,7,0.008,0.001,,0.004,,0.01,,0.009,,0.1,0.3,0.07,0.01,0.01,,,,,0.200000,,0.600000
EHI01384,Ittoqqortoormii,8,0.006,0.0003,,0.003,,0.01,,0.006,,0.09,0.3,0.1,0.02,0.02,,,,,0.010000,,0.090000
EHI01304,Ittoqqortoormii,10,0.007,0.0002,,0.006,,0.01,,0.01,,0.09,0.2,0.07,0.03,0.02,,,,,0.050000,,0.050000
EHI01299,Daneborg,9,0.007,0.0002,,0.005,,0.01,,0.01,0.0003,0.1,0.2,0.03,0.5,0.2,,,,,0.020000,,0.080000
EHI01282,Daneborg,9,0.007,0.0002,,0.006,,0.01,0.00006,0.009,0.0003,0.1,0.2,0.1,0.2,0.08,,,,,,,0.020000
EHI01308,Ittoqqortoormii,9,0.006,0.0005,,0.005,,0.01,,0.02,,0.1,0.3,0.05,0.03,0.01,,,,,0.100000,,0.200000
EHI01327,Daneborg,9,0.007,0.002,,0.006,,0.01,0.00005,0.05,0.00005,0.09,0.3,0.08,0.2,0.03,,,,,0.003000,,0.040000
EHI01288,Daneborg,9,0.005,,,0.006,,0.01,,0.007,,0.1,0.2,0.06,0.2,0.04,,,,,,,0.010000
EHI01318,Daneborg,8,0.005,0.0003,,0.005,,0.01,,0.08,0.006,0.09,0.3,0.03,5,0.08,,,,,,,0.010000
EHI01291,Ittoqqortoormii,10,0.004,0.0008,,0.004,,0.01,,0.006,,0.08,0.3,0.4,0.006,0.005,,,,,0.020000,,0.080000
EHI01301,Daneborg,8,0.006,0.0004,,0.004,,0.01,,0.005,,0.1,0.3,0.08,0.2,0.02,,,,,,,0.020000
EHI01311,Ittoqqortoormii,4,0.008,0.001,,0.003,,0.007,,0.03,,0.1,0.3,0.07,0.07,0.01,,,,,0.200000,,0.900000
EHI01300,Ittoqqortoormii,11,0.008,0.0006,,0.006,,0.01,0.0002,0.007,,0.09,0.3,0.09,0.05,0.05,,,,,0.060000,0.030000,0.200000
EHI01286,Daneborg,12,0.004,0.00005,,0.003,,0.02,,0.005,,0.1,0.2,0.03,0.4,,,,,,0.009000,,0.040000
EHI01287,Ittoqqortoormii,9,0.009,0.00006,,0.03,,0.01,,0.007,0.00006,0.07,0.3,0.04,0.1,0.07,,,,,,,0.100000
EHI01328,Daneborg,11,0.005,0.00009,,0.004,,0.01,0.00004,0.009,0.0001,0.2,0.3,0.07,0.3,0.05,,,,,0.004000,,0.010000
EHI01292,Ittoqqortoormii,13,0.008,0.00001,,0.004,,0.006,0.00002,0.008,,0.07,0.2,0.9,0.005,0.002,,,,,0.002000,,0.010000
EHI01315,Ittoqqortoormii,4,0.01,0.00007,,0.002,,0.007,,0.008,,0.1,0.3,2,0.0009,0.0002,,,,,0.008000,,0.010000
EHI01322,Daneborg,13,0.005,0.00004,,0.004,,0.01,0.00001,0.006,,0.09,0.3,0.06,0.3,0.01,,,,,0.010000,,0.030000
EHI01332,Daneborg,9,0.007,0.0002,,0.006,,0.01,0.0001,0.006,0.0002,0.09,0.2,0.04,0.5,0.07,,,,,,,0.040000
EHI01325,Ittoqqortoormii,8,0.01,0.0001,,0.004,,0.008,,0.009,,0.1,0.3,0.08,0.01,0.005,,,,,0.020000,,0.070000
EHI01323,Daneborg,9,0.008,0.0002,,0.003,,0.009,0.0001,0.005,0.00003,0.1,0.2,0.07,0.1,0.03,,,,0.004000,0.007000,,0.030000
EHI01313,Daneborg,10,0.005,0.0001,,0.005,,0.01,0.0001,0.006,0.0001,0.09,0.3,0.07,0.4,0.03,,,,,0.010000,,0.040000
EHI01284,Ittoqqortoormii,8,0.004,0.0003,,0.006,,0.01,,0.01,0.00005,0.1,0.2,0.1,,,,,,,0.010000,,0.080000
EHI01314,Ittoqqortoormii,8,0.008,0.001,,0.004,,0.006,,0.01,,0.1,0.3,0.06,0.03,0.02,,,,,0.300000,,0.500000
EHI01294,Daneborg,7,0.005,0.00005,,0.005,,0.01,,0.01,0.0002,0.1,0.3,0.05,0.4,0.1,,,,,,,0.040000
EHI01289,Ittoqqortoormii,6,0.004,0.0003,0.00004,0.005,,0.009,0.00004,0.01,,0.1,0.2,0.3,0.003,0.003,,,,,0.005000,,0.008000
EHI01331,Daneborg,7,0.008,0.004,,0.004,,0.007,0.00006,0.006,,0.1,0.2,0.1,0.05,0.006,,,,,0.020000,,0.020000
EHI01324,Daneborg,7,0.006,0.00004,,0.004,,0.01,0.0002,0.008,0.0003,0.1,0.2,0.07,0.2,0.06,,,,,0.020000,,0.030000
EHI01307,Daneborg,8,0.008,0.0002,,0.006,,0.01,,0.005,,0.1,0.3,0.09,0.09,,,,,,0.005000,,
EHI01305,Ittoqqortoormii,8,0.01,0.0002,,0.006,,0.009,0.00005,0.009,,0.1,0.2,0.07,0.03,0.03,,,,,0.030000,,0.200000
